,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
91,HBAN,Huntington Bancshares Incorporated,19.60B,-0.15%,11512954,6.96B
92,PFG,"Principal Financial Group, Inc.",18.88B,-0.31%,1120906,13.67B
93,CINF,Cincinnati Financial Corporation,18.46B,0.82%,585057,10.01B
94,FDS,FactSet Research Systems Inc.,18.16B,0.70%,219088,2.12B
95,RF,Regions Financial Corporation,18.10B,-1.12%,6455601,7.02B
96,NMR,"Nomura Holdings, Inc.",18.00B,1.50%,1648535,10.09B
97,SHG,"Shinhan Financial Group Co., Ltd.",17.94B,-0.37%,81597,7.06B
98,SYF,Synchrony Financial,17.49B,1.39%,4130605,7.66B
99,CG,The Carlyle Group Inc.,16.99B,0.41%,1310161,2.96B
100,L,Loews Corporation,16.89B,0.28%,578089,15.90B
101,NTRS,Northern Trust Corporation,16.72B,-1.26%,858614,6.75B
102,EG,"Everest Group, Ltd.",16.51B,1.03%,267924,14.59B
103,BAM,Brookfield Asset Management Inc.,16.35B,0.72%,796313,4.05B
104,TPG,TPG Inc.,16.08B,1.36%,774105,2.39B
105,CFG,"Citizens Financial Group, Inc.",15.51B,-0.64%,4079296,7.54B
106,CRBG,"Corebridge Financial, Inc.",15.36B,1.42%,2372186,18.88B
107,BEN,"Franklin Resources, Inc.",14.95B,-1.94%,3560332,7.87B
